song_id,comment_n,comment_len,comment_len_mean,comment_len_stdev,words_clean_unique_n,words_clean_total_n,bsm_n_words,bsm_v_mean,bsm_v_std,bsm_a_mean,bsm_a_std,bsm_d_mean,bsm_d_std,emo_n_words,emo_v_total,emo_v_mean,emo_v_std,emo_a_total,emo_a_mean,emo_a_std,emo_d_total,emo_d_mean,emo_d_std,aff_n_words,aff_anger,aff_fear,aff_sadness,aff_joy,aff_anger_wt,aff_fear_wt,aff_sadness_wt,aff_joy_wt,lex_n_words,lex_joy,lex_trust,lex_anticipation,lex_surprise,lex_positive,lex_negative,lex_sadness,lex_fear,lex_disgust,hssent_n_words,hssent_uniq_avg,hssent_uniq_std,hssent_dupl_avg,anew_n_words,anew_v_total,anew_v_mean,anew_v_std,anew_a_total,anew_a_mean,anew_a_std,anew_d_total,anew_d_mean,anew_d_std,mpqa_n_words,mpqa_pos,mpqa_neu,mpqa_neg,song_valence,song_arousal
601,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.071901,0.846830,
3096,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,1.541257,1.704165,
2082,14.000000,738.000000,52.714286,74.010840,276,503,171.000000,5.839472,1.680264,4.135083,2.400990,5.586733,2.127789,183.000000,0.591073,0.452618,0.521366,0.586481,0.200022,0.464607,0.154099,0.526612,0.174201,48.000000,0.364778,0.273647,0.317250,0.499708,0.049742,0.070485,0.076909,0.181712,124.000000,0.095000,0.125000,0.185000,0.060000,0.240000,0.095000,0.065000,0.070000,0.025000,409.000000,0.215056,1.208045,0.196641,171.000000,5.839472,4.135083,5.586733,5.718246,1.083083,4.110936,0.747621,5.590351,0.856138,73.000000,0.403509,0.271930,0.324561,-1.400403,1.538229,
902,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-0.308878,-0.102691,
1130,1.000000,20.000000,20.000000,0.000000,10,10,9.000000,6.046667,1.620000,4.808889,2.641111,6.223333,1.943333,9.000000,0.616111,0.561556,0.584222,0.616111,0.241939,0.561556,0.211969,0.584222,0.162163,3.000000,0.000000,0.094000,0.000000,0.678500,0.000000,0.031333,0.000000,0.452333,11.000000,0.181818,0.272727,0.181818,0.000000,0.181818,0.090909,0.000000,0.090909,0.000000,20.000000,0.430900,0.839948,0.430900,9.000000,6.046667,4.808889,6.223333,6.046667,1.356005,4.808889,0.624088,6.223333,0.818092,3.000000,0.666667,0.333333,0.000000,1.071901,0.846830,
3427,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541257,1.704165,
1258,2.000000,84.000000,42.000000,22.627417,40,47,26.000000,6.100323,1.615161,4.044516,2.312258,5.915161,2.076774,27.000000,0.657969,0.434406,0.561875,0.655037,0.201023,0.444000,0.142695,0.564741,0.125452,6.000000,0.000000,0.000000,0.453000,0.389200,0.000000,0.000000,0.075500,0.324333,18.000000,0.210526,0.105263,0.157895,0.105263,0.421053,0.000000,0.000000,0.000000,0.000000,56.000000,0.555518,1.119426,0.596164,26.000000,6.100323,4.044516,5.915161,6.058462,0.935105,4.062692,0.741170,5.928077,0.647920,14.000000,0.562500,0.375000,0.062500,-0.980166,-0.171831,
1280,2.000000,24.000000,12.000000,7.071068,17,18,11.000000,6.630000,1.654167,4.423333,2.676667,5.988333,2.009167,12.000000,0.712231,0.516846,0.537385,0.702167,0.256201,0.513000,0.210493,0.531750,0.167334,6.000000,0.000000,0.547000,0.068000,0.574250,0.000000,0.068375,0.025500,0.287125,13.000000,0.250000,0.125000,0.125000,0.062500,0.250000,0.000000,0.125000,0.062500,0.000000,29.000000,0.756138,0.849886,0.804194,11.000000,6.630000,4.423333,5.988333,6.535455,1.635319,4.319091,1.010044,5.941818,1.185671,7.000000,0.571429,0.428571,0.000000,-0.248844,-0.305501,
2730,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.550487,1.690337,
2562,3.000000,245.000000,81.666667,87.780028,109,196,79.000000,4.979627,1.834179,4.639851,2.301343,5.010000,2.120672,82.000000,0.449803,0.535672,0.455949,0.527512,0.274648,0.499756,0.191009,0.496256,0.175269,33.000000,0.506545,0.567333,0.540647,0.493077,0.105132,0.128453,0.173415,0.120943,81.000000,0.048780,0.065041,0.065041,0.048780,0.105691,0.235772,0.121951,0.056911,0.162602,156.000000,0.213436,1.356225,-0.088617,79.000000,4.979627,4.639851,5.010000,5.259494,1.622473,4.268228,1.009841,5.246329,1.094307,36.000000,0.269841,0.190476,0.539683,-1.400403,1.538229,
3346,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,1.178325,1.183311,
1459,90.000000,3025.000000,33.611111,40.564471,592,1626,394.000000,5.992391,1.658703,4.187285,2.363392,5.734041,2.128638,426.000000,0.640238,0.459938,0.526157,0.589920,0.220252,0.472070,0.178126,0.521190,0.170709,154.000000,0.353291,0.352323,0.352397,0.563787,0.053529,0.060176,0.061160,0.284223,360.000000,0.125138,0.106312,0.158361,0.057586,0.224806,0.107420,0.056478,0.059801,0.043189,882.000000,0.216658,1.289519,0.260970,394.000000,5.992391,4.187285,5.734041,5.711726,1.274110,4.188020,0.958652,5.668832,0.867810,191.000000,0.569288,0.213483,0.217228,1.541257,1.704165,
1673,1.000000,51.000000,51.000000,0.000000,29,45,11.000000,5.996667,1.594000,4.228667,2.404667,5.974000,2.148000,12.000000,0.572687,0.444750,0.482437,0.609083,0.190060,0.471667,0.173798,0.509083,0.167589,7.000000,0.266000,0.267600,0.017000,0.567500,0.029556,0.148667,0.001889,0.126111,11.000000,0.066667,0.066667,0.266667,0.000000,0.200000,0.000000,0.066667,0.266667,0.000000,38.000000,0.250421,1.300173,0.146119,11.000000,5.996667,4.228667,5.974000,6.139091,1.086264,4.362727,0.545822,5.844545,1.000084,4.000000,0.750000,0.250000,0.000000,-0.726386,-0.563623,
3368,108.000000,3710.000000,34.351852,67.846076,689,2325,411.000000,6.031645,1.671257,4.221476,2.388129,5.743143,2.134710,446.000000,0.630809,0.464245,0.527091,0.591132,0.222254,0.475738,0.183543,0.521226,0.170702,139.000000,0.592022,0.405037,0.319414,0.513264,0.079166,0.063581,0.064997,0.259616,317.000000,0.122989,0.110345,0.104598,0.068966,0.283908,0.109195,0.066667,0.055172,0.025287,984.000000,0.247545,1.196006,0.369030,411.000000,6.031645,4.221476,5.743143,5.705061,1.246193,4.171265,0.871038,5.600195,0.921072,170.000000,0.578842,0.193613,0.227545,-1.935250,-0.655810,
1202,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,1.071901,0.846830,
765,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.373325,-0.923151,
2031,1.000000,12.000000,12.000000,0.000000,4,9,2.000000,5.710000,1.575000,3.730000,2.370000,5.240000,2.320000,2.000000,0.545500,0.320500,0.585500,0.545500,0.082731,0.320500,0.045962,0.585500,0.033234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,-0.969333,2.139794,-0.969333,2.000000,5.710000,3.730000,5.240000,5.710000,0.155563,3.730000,0.452548,5.240000,1.244508,1.000000,0.000000,1.000000,0.000000,1.257460,1.086515,
3228,548.000000,14814.000000,27.032847,46.054284,1964,8337,1166.000000,5.973868,1.683163,4.170967,2.364043,5.733197,2.133135,1266.000000,0.625973,0.456092,0.511086,0.578253,0.223197,0.479063,0.180126,0.521655,0.175885,411.000000,0.475516,0.444279,0.341692,0.553751,0.068234,0.069135,0.094140,0.235556,1048.000000,0.117733,0.115310,0.113372,0.060078,0.207607,0.136870,0.096172,0.053779,0.046027,2568.000000,0.164146,1.291382,0.269575,1166.000000,5.973868,4.170967,5.733197,5.567804,1.298076,4.207762,0.948128,5.523979,0.924826,481.000000,0.457549,0.287747,0.254704,1.541257,1.704165,
2604,6.000000,1567.000000,261.166667,268.523680,226,905,158.000000,5.996383,1.747145,4.303109,2.488774,5.597160,2.262735,174.000000,0.674153,0.430816,0.580367,0.630466,0.250830,0.456759,0.175901,0.561011,0.185348,81.000000,0.562111,0.412852,0.561842,0.559900,0.037474,0.082570,0.079074,0.331793,190.000000,0.160991,0.170279,0.115583,0.041280,0.271414,0.063983,0.043344,0.077399,0.027864,345.000000,0.204899,1.187954,0.256147,158.000000,5.996383,4.303109,5.597160,5.840127,1.469321,4.276013,0.929483,5.595000,0.996100,88.000000,0.670213,0.101064,0.220745,-0.939779,-0.194877,
2800,28.000000,436.000000,15.571429,18.062502,170,242,118.000000,6.097235,1.654235,4.363412,2.412529,5.744765,2.111824,129.000000,0.642635,0.476829,0.521669,0.611837,0.225110,0.483612,0.177625,0.517938,0.158653,44.000000,0.506333,0.242357,0.412100,0.629154,0.098000,0.054726,0.066468,0.263839,126.000000,0.139535,0.139535,0.098837,0.034884,0.232558,0.087209,0.052326,0.081395,0.063953,276.000000,0.253732,1.254735,0.371653,118.000000,6.097235,4.363412,5.744765,5.886864,1.374698,4.303898,0.866547,5.638475,0.868240,65.000000,0.511628,0.290698,0.197674,0.815393,0.662457,
2821,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.935250,-0.655810,
1151,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.280335,0.668603,
2151,8.000000,117.000000,14.625000,21.836650,59,69,40.000000,6.253542,1.652500,4.047917,2.382083,5.729167,2.036458,44.000000,0.683038,0.457346,0.545250,0.656977,0.190352,0.440705,0.169506,0.529455,0.167317,5.000000,0.000000,0.000000,0.312500,0.453333,0.000000,0.000000,0.125000,0.272000,17.000000,0.055556,0.111111,0.055556,0.055556,0.388889,0.111111,0.111111,0.000000,0.111111,83.000000,0.502446,1.346880,0.595640,40.000000,6.253542,4.047917,5.729167,6.142500,1.039955,4.029750,0.871669,5.675000,0.873698,15.000000,0.444444,0.444444,0.111111,1.541257,1.704165,
33,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.700572,1.842444,
3408,511.000000,14580.000000,28.532290,37.921260,2167,7919,1341.000000,6.042664,1.652512,4.142888,2.375831,5.741665,2.109239,1462.000000,0.643068,0.464262,0.543299,0.589593,0.218503,0.474706,0.174379,0.542053,0.179953,445.000000,0.420275,0.433637,0.325448,0.535252,0.059868,0.080921,0.064672,0.252758,1192.000000,0.117145,0.146367,0.122317,0.067494,0.238945,0.102664,0.060512,0.061546,0.031290,2796.000000,0.144995,1.326840,0.268786,1341.000000,6.042664,4.142888,5.741665,5.602878,1.239740,4.177181,0.908063,5.554571,0.908830,556.000000,0.523700,0.271514,0.204786,0.647571,0.166955,
1187,1.000000,6.000000,6.000000,0.000000,3,3,2.000000,5.845000,1.925000,3.040000,2.285000,4.960000,2.430000,2.000000,0.573000,0.290000,0.489500,0.573000,0.043841,0.290000,0.002828,0.489500,0.168999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,-0.369333,2.311044,-0.369333,2.000000,5.845000,3.040000,4.960000,5.845000,0.346482,3.040000,0.523259,4.960000,0.848528,0.000000,0.000000,0.000000,0.000000,0.373325,-0.923151,
2713,1.000000,35.000000,35.000000,0.000000,16,17,10.000000,5.886000,1.801000,4.068000,2.307000,5.675000,2.222000,12.000000,0.672333,0.390917,0.530833,0.672333,0.123258,0.390917,0.136000,0.530833,0.172839,4.000000,0.000000,0.148500,0.000000,0.491500,0.000000,0.074250,0.000000,0.245750,8.000000,0.125000,0.125000,0.375000,0.000000,0.250000,0.000000,0.000000,0.125000,0.000000,20.000000,0.011850,1.065861,0.011850,10.000000,5.886000,4.068000,5.675000,5.886000,0.619788,4.068000,0.863247,5.675000,0.590880,4.000000,0.500000,0.250000,0.250000,-1.344007,0.004860,
544,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678952,-0.466827,
660,9.000000,1253.000000,139.222222,173.525775,256,847,141.000000,5.981696,1.637545,4.182946,2.403036,5.796071,2.160022,151.000000,0.640042,0.476419,0.555179,0.639490,0.185215,0.476483,0.176345,0.555219,0.165182,35.000000,0.637769,0.413250,0.225833,0.515238,0.076064,0.090991,0.062156,0.198532,99.000000,0.098976,0.078498,0.122867,0.064846,0.293515,0.092150,0.102389,0.081911,0.020478,329.000000,0.393784,1.291476,0.434324,141.000000,5.981696,4.182946,5.796071,5.936879,1.065820,4.147447,0.838411,5.756170,0.794499,50.000000,0.507937,0.222222,0.269841,0.943647,0.754644,
448,5.000000,167.000000,33.400000,47.215464,77,96,46.000000,5.967407,1.596111,3.967593,2.319444,5.753889,2.105556,50.000000,0.606016,0.434889,0.496127,0.615780,0.191806,0.423160,0.167291,0.499140,0.141249,11.000000,0.601500,0.365000,0.656000,0.519667,0.160400,0.073000,0.087467,0.207867,26.000000,0.105263,0.210526,0.078947,0.052632,0.157895,0.131579,0.052632,0.052632,0.052632,117.000000,0.416838,1.150356,0.417484,46.000000,5.967407,3.967593,5.753889,5.976304,1.206511,3.933696,0.913940,5.749130,0.736100,22.000000,0.428571,0.392857,0.178571,0.373325,-0.923151,
2088,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.056572,0.736206,
1932,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722613,-0.038160,
