query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_words,submission.n_comments,min.Valence,min.Arousal,min.Dominance,max.Valence,max.Arousal,max.Dominance,mean.Valence,mean.Arousal,mean.Dominance,std.Valence,std.Arousal,std.Dominance
83,1.4016064257028114,6579.433734939759,0.205075862,0.162658621,AMG1608,Sam Cooke,Touch the Hem of His Garment,3484,3142,0.01,0.073,0.087,1.0,0.973,0.991,0.6350910075839653,0.46601300108342364,0.5307378114842903,0.22221657557252317,0.17050481333651157,0.16761550409491546
84,4.222591362126246,30787.441860465115,0.452884,-0.323176,AMG1608,Rammstein,Du Hast,2963,24452,0.0,0.046,0.12,1.0,0.963,0.981,0.65657903930131,0.4480777292576419,0.5155100436681223,0.2125257390766005,0.16656289389960133,0.15866807432459662
85,6.509090909090909,23187.070707070707,0.345626923,-0.300473077,AMG1608,Dr. Dre,Let Me Ride,8846,23705,0.0,0.073,0.102,1.0,0.96,0.991,0.6134443387250238,0.46031144941325725,0.5249803361877577,0.212262084253468,0.1695902142983124,0.16317521450404238
86,2.454225352112676,1963.3028169014085,-0.027161538,-0.180323077,AMG1608,R.E.M.,Fall on Me,6546,1019,0.02,0.069,0.125,1.0,0.96,0.991,0.6352287361845267,0.4499697260932244,0.529623258049015,0.21531862919329775,0.16041629600934448,0.16174385411328146
87,1.5321782178217822,4740.799504950495,0.252053846,0.141223077,AMG1608,Fats Domino,The Fat Man,3736,8934,0.0,0.09,0.102,1.0,0.959,0.923,0.646507063197026,0.45263122676579925,0.5253130111524164,0.2098041642543517,0.16689240610237413,0.16363243967567956
88,12.262931034482758,1099472.8189655172,0.162888,0.17786,AMG1608,Tommy Roe,Dizzy,1838,581434,0.0,0.137,0.113,1.0,0.952,0.991,0.6271457680250784,0.4637648902821316,0.5103134796238245,0.22700986307514626,0.16823062370690328,0.16299863385157787
89,0.5641025641025641,583809.4153846154,0.440703846,0.248788462,AMG1608,Buzzcocks,Everybody''s Happy Nowadays,1542,235901,0.0,0.105,0.081,1.0,0.959,0.991,0.629167701863354,0.45068944099378877,0.5212453416149069,0.23306583311007883,0.16424636261810963,0.15999725520597077
90,0.8978978978978979,4811.540540540541,-0.377388462,0.269284615,AMG1608,Johnny Ace,Pledging My Love,3262,4568,0.0,0.123,0.087,1.0,0.949,0.991,0.6246782820097245,0.46614667747163696,0.5291207455429497,0.22443543169284744,0.16942401936710683,0.16660859087653263
91,3.073972602739726,2033.7506849315068,0.453707692,-0.392992308,AMG1608,Bikini Kill,Suck My Left One,3636,3213,0.0,0.118,0.087,1.0,0.971,0.973,0.6139732620320856,0.47317647058823525,0.5124278074866311,0.22552920785667896,0.18021658782840252,0.1568066565685122
92,2.230414746543779,646.7603686635945,-0.083103846,0.175392308,AMG1608,Scott Walker,Montague Terrace (In Blue),3100,1024,0.0,0.073,0.131,1.0,0.948,0.991,0.6386038062283736,0.46124913494809694,0.5398520761245674,0.20952633562116582,0.16558052212325683,0.16929204691066005
93,0.9144542772861357,15067.884955752212,-0.275946154,0.202230769,AMG1608,The Beach Boys,In My Room,3894,13037,0.0,0.082,0.087,1.0,0.971,0.954,0.6454160114367407,0.46477483917083634,0.5204581844174411,0.21778524925605508,0.17254695629760353,0.16153023453637572
94,1.5896226415094339,7594.226415094339,-0.443261538,0.358219231,AMG1608,Frank Sinatra,The Christmas Song,1785,2294,0.0,0.1,0.113,1.0,0.971,0.93,0.6594505813953488,0.45755813953488367,0.5340188953488373,0.21358809042710253,0.1643579793548545,0.16762256917777824
95,1.22397476340694,8950.141955835963,0.098419231,-0.029415385,AMG1608,Liz Phair,Fuck and Run,4157,19798,0.0,0.069,0.087,1.0,0.959,0.991,0.6509203747072599,0.46613056206089,0.5369238875878221,0.2191150294173256,0.16901832744266976,0.17128401014015662
96,1.21580547112462,9895.367781155015,0.380261538,0.457319231,AMG1608,The McCoys,Hang on Sloopy,4247,15761,0.0,0.115,0.087,1.0,0.952,0.991,0.640894538606403,0.45723666038920274,0.5248367859384809,0.20549339797083915,0.1687530900127165,0.15962450356510757
97,5.269076305220883,4080.5060240963853,-0.159407692,-0.303065385,AMG1608,The Beatles,Revolution 9,7886,16183,0.0,0.09,0.096,1.0,0.959,0.991,0.6099827788649707,0.45579217221135027,0.5185060665362036,0.21822228761914175,0.17030821321252998,0.1620805515485355
98,3.3051643192488265,18092.99765258216,-0.091830769,0.005896154,AMG1608,Neil Young,Down by the River,5607,22113,0.0,0.069,0.102,1.0,0.953,0.943,0.6473454051607063,0.452323675871435,0.5277528293345405,0.2093611199767251,0.1654371837362109,0.16494333546774462
