song_name,valence,arousal,val_pred,aro_pred
Dang Me,-0.4585109821530949,-0.05276609126680484,9.8166594e-05,-0.0017525881
Don''t Turn Around,0.29631697320958766,0.6550541137682657,9.8166594e-05,-0.0017525881
Downtown Train,-2.0985183279035735,-1.589490658248802,9.8166594e-05,-0.0017525881
Driver 8,-0.06354230863998361,0.37924165410217636,9.8166594e-05,-0.0017525881
Eighteen Wheels and a Dozen Roses,0.9242035798984003,-0.34600864758615757,9.8166594e-05,-0.0017525881
Feel Like Makin'' Love,0.6955938755610512,-0.3198152455595982,9.8166594e-05,-0.0017525881
French Poodle,1.773937367751071,-0.5253861529319722,9.8166594e-05,-0.0017525881
Funny How Time Slips Away,-1.300656148245436,-1.749971083992695,9.8166594e-05,-0.0017525881
Giant Steps,0.9419503951990207,1.2505341609716725,9.8166594e-05,-0.0017525881
Godard,-1.3283690340153018,-0.6784737450532636,9.8166594e-05,-0.0017525881
Golden Years,0.8439466749974148,0.5008662829877983,9.8166594e-05,-0.0017525881
Good Lovin'',2.2801898549496573,1.6576417653691986,9.8166594e-05,-0.0017525881
Goodbye Pork Pie Hat,-0.7916900086707378,-2.0609525739569423,9.8166594e-05,-0.0017525881
Hard to Explain,-1.0621908383511254,0.5389113776761504,9.8166594e-05,-0.0017525881
Hot Dog! That Made Him Mad,0.6944075538706669,0.11103435385235548,9.8166594e-05,-0.0017525881
How I Could Just Kill a Man,-1.6320664033543757,1.1566627192968049,9.8166594e-05,-0.0017525881
I Am a Rock,-1.2657628846805116,-1.7581360129897392,9.8166594e-05,-0.0017525881
I Just Don''t Know What to Do With Myself,-1.6183937642711044,-1.1627910837797735,9.8166594e-05,-0.0017525881
I Just Want to Make Love to You,0.15945757853039233,0.3216045893423214,9.8166594e-05,-0.0017525881
I Knew the Bride (When She Used to Rock & Roll),0.8406326555849862,0.7599937189345237,9.8166594e-05,-0.0017525881
I Know It''s Gonna Happen Someday,-1.224938009061472,-0.9516031685158162,9.8166594e-05,-0.0017525881
I''m Ready,1.5144832706461764,0.5056532853117235,9.8166594e-05,-0.0017525881
I''m Waiting for the Man,-0.5738292542537,0.1819900942226612,9.8166594e-05,-0.0017525881
Imitation of Life,-0.8158247152612497,-1.229249358315411,9.8166594e-05,-0.0017525881
Insane in the Brain,0.11171648848541513,0.9318896013979411,9.8166594e-05,-0.0017525881
It Takes Two,1.7733850323830647,1.9482398893851267,9.8166594e-05,-0.0017525881
It''s a Shame About Ray,0.0005207304570453955,-0.44775176991101984,9.8166594e-05,-0.0017525881
Jam on Revenge (The Wikki-Wikki Song),0.7904420729308228,0.28033598937203125,9.8166594e-05,-0.0017525881
Karma Police,-1.1297199887384433,-0.8032060646251211,9.8166594e-05,-0.0017525881
Killing Me Softly With His Song,-0.29814126015166426,-1.5995086207770897,9.8166594e-05,-0.0017525881
Knock on Wood,0.7718787588930752,0.08231233411807445,9.8166594e-05,-0.0017525881
Kowalski,-0.8313141538193394,1.012882610589638,9.8166594e-05,-0.0017525881
Last Nite,0.31243079463814905,0.9663251431171342,9.8166594e-05,-0.0017525881
Let''s Have a Party,1.5282676678297418,1.1590985376643548,9.8166594e-05,-0.0017525881
Life During Wartime,0.13717199751275025,1.2720177684745322,9.8166594e-05,-0.0017525881
Linus and Lucy,1.6518950006933784,0.9089969182442749,0.00014544727,-0.0015665902
Loose,-0.8283123222399518,0.9513271529736288,9.8166594e-05,-0.0017525881
Love Removal Machine,-0.9310565310793357,1.5867825361968568,9.8166594e-05,-0.0017525881
Lover Man,-1.0926894239995684,-2.0209965384394946,9.8166594e-05,-0.0017525881
MMMBop,1.2780592021913912,1.4248930348021567,9.8166594e-05,-0.0017525881
Man-Size,-1.7406282471954522,0.615503429335778,9.8166594e-05,-0.0017525881
Mother''s Little Helper,-0.44782447268114745,0.5266350305316593,9.8166594e-05,-0.0017525881
Motor City Madhouse,-0.28248372156107415,0.5714938829687345,9.8166594e-05,-0.0017525881
Mr. Tambourine Man,-1.199554540332212,-1.0535007093364939,9.8166594e-05,-0.0017525881
Neither One of Us (Wants to Be the First to Say Goodbye),-1.2243616578593106,-1.7116943601129377,9.8166594e-05,-0.0017525881
New York State of Mind,-0.5439070198074184,-1.8058323230215314,9.8166594e-05,-0.0017525881
No Matter What,1.2438383495630536,0.1877808240077985,9.8166594e-05,-0.0017525881
Old Man,0.31444802384571413,-0.9782598260298215,9.8166594e-05,-0.0017525881
Open All Night,0.15294961167192062,0.21208258860300128,9.8166594e-05,-0.0017525881
Pacific Coast Highway,1.1505174864812047,0.1721458535879278,0.00012598127,-0.0016431676
Private Idaho,0.21613211220887238,0.4755800943291221,9.8166594e-05,-0.0017525881
Put Your Dreams Away (For Another Day),0.881865782373687,-1.4724021019933258,9.8166594e-05,-0.0017525881
Reverend Black Grape,0.46528393517732536,0.8110756775776033,9.8166594e-05,-0.0017525881
Rock Me Amadeus,0.847188650509573,1.0279771119311079,9.8166594e-05,-0.0017525881
Say It Loud (I''m Black and I''m Proud),0.9561910716183621,1.1279251080225772,9.8166594e-05,-0.0017525881
See See Rider,0.9067545472529617,0.8971876890039968,9.8166594e-05,-0.0017525881
Seeing Other People,0.6473388711600815,-0.38635073079082577,9.8166594e-05,-0.0017525881
Senses Working Overtime,0.11687963347071333,0.21922448674109404,9.8166594e-05,-0.0017525881
She Thinks I Still Care,-0.9964868013047172,-1.698472192805086,9.8166594e-05,-0.0017525881
Shelter from the Storm,-0.03530109973407131,-0.9995890150368654,9.8166594e-05,-0.0017525881
Smokestack Lightning,-0.6703920928477074,0.040657683565198555,9.8166594e-05,-0.0017525881
Stolen Car,-0.7857583930144275,-0.33110716864061596,9.8166594e-05,-0.0017525881
Summer in the City,1.3965474059038847,0.7613526092256478,9.8166594e-05,-0.0017525881
Summertime,-0.0020168178092461017,-2.0026013211204967,9.8166594e-05,-0.0017525881
Taillights Fade,-1.5514169492517929,0.00896308824275872,9.8166594e-05,-0.0017525881
Take This Job and Shove It,-0.5503189269314649,-0.25802815875218327,9.8166594e-05,-0.0017525881
Teen Age Riot,0.34605128023017007,0.33959445847172454,9.8166594e-05,-0.0017525881
The Ballad of Peter Pumpkinhead,0.9427428781019926,-0.3677817915782738,9.8166594e-05,-0.0017525881
The Devil Went Down to Georgia,1.1031126001034233,1.4539238915280686,9.8166594e-05,-0.0017525881
The First Cut Is the Deepest,-0.47522516701577766,-0.20681880405383082,9.8166594e-05,-0.0017525881
The Globe,1.2607206380604319,0.6424110194389276,9.8166594e-05,-0.0017525881
The Tracks of My Tears,-0.20157842155765704,-0.7114423009284336,9.8166594e-05,-0.0017525881
These Foolish Things,0.1400537535235576,-2.0168272129941958,9.8166594e-05,-0.0017525881
This Night,-0.7058857234489482,-0.43499286098597906,9.8166594e-05,-0.0017525881
Time in a Bottle,-0.8427451181281436,-1.0003997172067849,9.8166594e-05,-0.0017525881
Unsung,-1.6454582549385388,1.3518873731925478,9.8166594e-05,-0.0017525881
Waterfall,0.7774741708821896,-0.6375718922678205,9.8166594e-05,-0.0017525881
We''re an American Band,1.3012813539125456,1.2754729029478755,9.8166594e-05,-0.0017525881
When Your Lover Has Gone,-0.785085982077841,-1.550326021503535,9.8166594e-05,-0.0017525881
When a Man Loves a Woman,1.1278476701280566,-0.6899007861277229,9.8166594e-05,-0.0017525881
Where the Streets Have No Name,1.3776959162650564,-0.781143384143748,9.8166594e-05,-0.0017525881
Where the Streets Have No Name (I Can''t Take My Eyes off You),1.661428811363198,1.2950224067024994,9.8166594e-05,-0.0017525881
White Light/White Heat,-0.18572876349821643,0.2623847270381056,9.8166594e-05,-0.0017525881
William Tell Overture,-0.030041895014347834,1.3229568871860016,9.8166594e-05,-0.0017525881
Wish,-1.7623273152187997,1.2014072424603672,9.8166594e-05,-0.0017525881
With God on Our Side,-0.7671998843048282,-1.1267418596589103,9.8166594e-05,-0.0017525881
Without You,-1.8902394122224704,-0.7493908844188217,9.8166594e-05,-0.0017525881
Wonderwall,0.4949660220886413,0.19665994397679729,9.8166594e-05,-0.0017525881
Working in the Coal Mine,0.15174888120148258,0.548929340204438,9.8166594e-05,-0.0017525881
